,Month,Avg. viewers,Gain_viewers,% Gain_viewers,Peak_viewers,Avg. channels,Gain_channels,% Gain_channels,Peak_channels,Hours watched,Gain,% Gain
0,2016-12-01,60318,-,-,429880,406,-,-,816,44697603,-,-
1,2017-01-01,52609,-7709,-12.8%,231683,485,+79,+19.5%,864,38999161,-5698442,-12.7%
2,2017-02-01,47704,-4905,-9.3%,218283,486,+1,+0.2%,1063,32032305,-6966856,-17.9%
3,2017-03-01,51574,+3870,+8.1%,326837,447,-39,-8%,1228,38351474,+6319169,+19.7%
4,2017-04-01,68133,+16559,+32.1%,671789,395,-52,-11.6%,923,48683087,+10331613,+26.9%
5,2017-05-01,46633,-21500,-31.6%,214920,423,+28,+7.1%,866,33749481,-14933606,-30.7%
6,2017-06-01,57690,+11057,+23.7%,337997,422,-1,-0.2%,933,41510311,+7760830,+23%
7,2017-07-01,32759,-24931,-43.2%,111086,433,+11,+2.6%,829,24348583,-17161728,-41.3%
8,2017-08-01,78716,+45957,+140.3%,845791,408,-25,-5.8%,704,58528314,+34179731,+140.4%
9,2017-09-01,40339,-38377,-48.8%,205329,419,+11,+2.7%,718,29037850,-29490464,-50.4%
10,2017-10-01,42529,+2190,+5.4%,282651,424,+5,+1.2%,752,31625324,+2587474,+8.9%
11,2017-11-01,55039,+12510,+29.4%,226905,476,+52,+12.3%,829,39570151,+7944827,+25.1%
12,2017-12-01,43441,-11598,-21.1%,293382,487,+11,+2.3%,815,32298741,-7271410,-18.4%
13,2018-01-01,41604,-1837,-4.2%,180197,551,+64,+13.1%,912,30943285,-1355456,-4.2%
14,2018-02-01,49001,+7397,+17.8%,292301,573,+22,+4%,964,32880473,+1937188,+6.3%
15,2018-03-01,53629,+4628,+9.4%,397089,566,-7,-1.2%,1483,39900000,+7019527,+21.3%
16,2018-04-01,55829,+2200,+4.1%,312498,558,-8,-1.4%,1392,40125538,+225538,+0.6%
17,2018-05-01,52547,-3282,-5.9%,358946,574,+16,+2.9%,1210,39073653,-1051885,-2.6%
18,2018-06-01,66796,+14249,+27.1%,356896,584,+10,+1.7%,1125,48087838,+9014185,+23.1%
19,2018-07-01,38962,-27834,-41.7%,151364,592,+8,+1.4%,1070,28414778,-19673060,-40.9%
20,2018-08-01,93969,+55007,+141.2%,776473,591,-1,-0.2%,1111,69729072,+41314294,+145.4%
21,2018-09-01,41307,-52662,-56%,161992,599,+8,+1.4%,1272,29725455,-40003617,-57.4%
22,2018-10-01,47343,+6036,+14.6%,218915,607,+8,+1.3%,1306,35160316,+5434861,+18.3%
23,2018-11-01,64056,+16713,+35.3%,446424,644,+37,+6.1%,1334,46120872,+10960556,+31.2%
24,2018-12-01,44288,-19768,-30.9%,256425,626,-18,-2.8%,1319,32950296,-13170576,-28.6%
25,2019-01-01,62537,+18249,+41.2%,444684,735,+109,+17.4%,1455,46527600,+13577304,+41.2%
26,2019-02-01,74876,+12339,+19.7%,272704,786,+51,+6.9%,1606,50317296,+3789696,+8.1%
27,2019-03-01,67497,-7379,-9.9%,356083,757,-29,-3.7%,1473,50174147,-143149,-0.3%
28,2019-04-01,41030,-26467,-39.2%,151550,626,-131,-17.3%,1330,29541894,-20632253,-41.1%
29,2019-05-01,62777,+21747,+53%,408908,660,+34,+5.4%,1257,46677235,+17135341,+58%
30,2019-06-01,59719,-3058,-4.9%,488088,612,-48,-7.3%,1122,42997893,-3679342,-7.9%
31,2019-07-01,55064,-4655,-7.8%,278633,620,+8,+1.3%,1078,40956300,-2041593,-4.7%
32,2019-08-01,95319,+40255,+73.1%,1041033,655,+35,+5.6%,1171,70917942,+29961642,+73.2%
33,2019-09-01,35933,-59386,-62.3%,127276,624,-31,-4.7%,1273,25866572,-45051370,-63.5%
34,2019-10-01,40409,+4476,+12.5%,176611,605,-19,-3%,1215,28948981,+3082409,+11.9%
35,2019-11-01,48397,+7988,+19.8%,243245,595,-10,-1.7%,1273,33755989,+4807008,+16.6%
36,2019-12-01,46050,-2347,-4.8%,204145,564,-31,-5.2%,1068,34215092,+459103,+1.4%
37,2020-01-01,59260,+13210,+28.7%,368113,594,+30,+5.3%,1056,44089989,+9874897,+28.9%
38,2020-02-01,50361,-8899,-15%,236728,628,+34,+5.7%,1182,34990696,-9099293,-20.6%
39,2020-03-01,56289,+5928,+11.8%,166092,732,+104,+16.6%,1485,41805652,+6814956,+19.5%
40,2020-04-01,58387,+2098,+3.7%,104877,933,+201,+27.5%,1470,4194239,-37611413,-90%
