Month,TotDays,price,Avg. viewers,Peak_viewers,Avg. channels,Peak_channels,Hours watched,score_sum,num comments_sum,score_mean,num comments_mean,afinn_score_title_sum,afinn_score_text_sum,afinn_score_title_mean,afinn_score_text_mean,Avg. Players,Peak Players
9/1/2015,30,10000,,,,,,,,,,,,,,,
10/1/2015,61,4000,,,,,,,,,,,,,,,
11/1/2015,91,75763,,,,,,,,,,,,,,539536.33,943635
12/1/2015,122,277350,,,,,,,,,,,,,,573344.25,999452
1/1/2016,153,659671,,,,,,,,,,,,,,612174.78,1067949
2/1/2016,182,28489,,,,,,699564,352982,31.70181719,15.99592151,1886,16158,0.117963473,1.010632975,709178.26,1248394
3/1/2016,213,3583351,,,,,,743728,347294,35.88554885,16.7572497,942,13410,0.062938465,0.895971137,672554.89,1291328
4/1/2016,243,664869,,,,,,859074,391767,36.26927299,16.54002364,2008,18933,0.114624957,1.080774061,656944.37,1164041
5/1/2016,274,812207,,,,,,786621,365690,33.91192447,15.76521814,2599,18593,0.149350649,1.068440409,623798.67,1075307
6/1/2016,304,3396547,,,,,,845393,363461,35.20417257,15.13537936,2337,16444,0.127322256,0.895886679,640226.98,1095994
7/1/2016,335,1069136,,,,,,958856,436017,33.24282346,15.11638469,5471,27925,0.25426407,1.297811033,638212.65,1084198
8/1/2016,366,20923758,,,,,,706553,323554,32.98258799,15.1038185,3201,23577,0.203976295,1.5023896,666013.05,1117519
9/1/2016,396,1221331,,,,,,1291536,546086,34.79634669,14.71255759,7744,34198,0.276739449,1.222099132,622583.9,1064377
10/1/2016,427,470993,,,,,,807177,312634,40.21407931,15.57562774,2436,12224,0.167676211,0.841409692,639355.14,1141191
11/1/2016,457,465352,,,,,,951449,317146,43.92046346,14.63998523,1339,16198,0.086059515,1.041069477,584251.33,1007270
12/1/2016,488,3879513,60318,429880,406,816,44697603,773676,255775,47.6049717,15.73806301,2157,15751,0.192916555,1.408729094,593920.6,1014671
1/1/2017,519,1927956,52609,231683,485,864,38999161,1432586,403745,37.56518775,10.58697818,3449,27252,0.12123449,0.957924707,580281.47,1007451
2/1/2017,547,401832,47704,218283,486,1063,32032305,852871,277721,43.33253734,14.11040545,1362,9406,0.096179648,0.664218629,591567.25,1040877
3/1/2017,578,759865,51574,326837,447,1228,38351474,665286,207339,43.26500618,13.48370944,1590,9064,0.146841522,0.837089028,548435.44,956232
4/1/2017,608,3093686,68133,671789,395,923,48683087,793611,252409,45.56269377,14.4912734,1797,10210,0.148010872,0.840952146,540278.03,921318
5/1/2017,639,724785,46633,214920,423,866,33749481,859251,285348,47.65409572,15.82541179,1981,11353,0.159655061,0.91497421,567526.42,972876
6/1/2017,669,818266,57690,337997,422,933,41510311,1168329,330772,49.93285751,14.13676383,2280,17036,0.136486082,1.019814427,555289.07,923122
7/1/2017,700,639416,32759,111086,433,829,24348583,923993,286810,47.37696765,14.70594268,2154,13592,0.155501011,0.981230147,498444.38,824297
8/1/2017,731,24800249,78716,845791,408,704,58528314,975742,275747,52.97475433,14.97079103,2474,15840,0.191649237,1.227050895,556496.3,876395
9/1/2017,761,410983,40339,205329,419,718,29037850,1611741,479146,53.46627965,15.89470891,6465,30736,0.311942099,1.483039807,491450.16,829555
10/1/2017,792,3418583,42529,282651,424,752,31625324,847022,239036,61.30288775,17.30013751,1394,9865,0.157942443,1.117720372,466126.79,832550
11/1/2017,822,1581374,55039,226905,476,829,39570151,987347,271155,57.24414425,15.72095315,2080,11180,0.183551006,0.986586657,487381.24,861173
12/1/2017,853,3234564,43441,293382,487,815,32298741,1157795,292998,59.34366991,15.01783701,2879,15287,0.220174365,1.169088406,513074.33,864939
1/1/2018,884,2146454,41604,180197,551,912,30943285,763335,215946,54.42673797,15.39721925,2003,11395,0.233123836,1.326233706,486861.91,778627
2/1/2018,912,2759886,49001,292301,573,964,32880473,787617,257003,55.8593617,18.22716312,1143,12265,0.130019338,1.395176885,438847.72,779299
3/1/2018,943,5921642,53629,397089,566,1483,39900000,736921,242075,57.08140976,18.75096824,1178,13581,0.145038168,1.672125092,437262.35,773897
4/1/2018,973,2738420,55829,312498,558,1392,40125538,1001330,280302,57.91717277,16.21273642,2308,19258,0.202811951,1.692267135,430340.94,733214
5/1/2018,1004,4742683,52547,358946,574,1210,39073653,906155,267995,63.67025014,18.8304525,1681,11375,0.192797339,1.30462209,474325.87,844713
