,0
login here,Join Today
Join Today,Activision Blizzard Inc
Activision Blizzard Inc,NasdaqGS:ATVI
Arias Intel Corp,OTC: ASNT
Atari Inc ,NYSE Euronext Paris: ATA
Backstageplay Inc,TSXV: BP-H.V
"BizRocket.com, Inc.",OTC:BZRT
Blocplay Entertainment Inc,CSE:PLAY
Capcom Co. Ltd,OTC: CCOEF
Captor Capital Corp,CSE:CPTR
Changyou.com Limited,NasdaqGS: CYOU
China TechFaith Wireless Technology Limited,NasdaqGS:CNTF
"Dave & Buster's Entertainment, Inc",NasdaqGS:PLAY
DeepMarkit Corp.,TSX:MKT.V
"DNA Dynamics, Inc.",OTC:DNAD
DTS Inc,NasdaqGS:DTSI
Electronic Arts,NasdaqGS: EA
Emerge Gaming,ASX: EM1.AX
Enthusiast Gaming,TSXV:EGLX.V
ePlay Digital Inc,CSE:EPY
Fantasy 6 Sports Inc.,CSE: FYS.CA
"Freeze Tag, Inc.",OTC:FRZT
Gameloft,Paris: GFT.PA
Gamestop Corp,NYSE: GME
www.GameStop.com,www.Kongregate.com
www.Kongregate.com,www.GameStop.com/PCgames
www.GameStop.com/PCgames,Giant Interactive Group Inc.
Giant Interactive Group Inc.,NYSE: GA
GigaMedia,NasdaqGS:GIGM
Global Gaming Technologies Corp,TSX:BLOC.V
"Glu Mobile, Inc.",NasdaqGS:GLUU
Gopher Protocol Inc.,OTCQB:GOPH
"Gravity Co., Ltd.",NasdaqGM:GRVY
"Hastings Entertainment, Inc",NasdaqCM: HAST
www.goHastings.com,"Hauppauge Digital, Inc."
"Hauppauge Digital, Inc.",NasdaqCM: HAUP
iDreamSky Technology Ltd,NasdaqGS:DSKY
Immersion Corp,NasdaqGS: IMMR
King Digital Entertainment ,NYSE:KING
Konami Corp,NYSE: KNM
Kopin Corporation ,NasdaqGS:KOPN
Kuuhubb Inc,TSX: KUU.V
"Left Behind Games, Inc.",OTC: LFBG
Lions Gate Entertainment Corp,NYSE:LGF-A
LGF-B,Majesco Entertainment Company
Majesco Entertainment Company,NasdaqCM: COOL
Mad Catz Interactive Inc,NYSEMKT: MCZ;
Microsoft,NasdaqGS: MSFT
Millennial Esports Corp.,TSX:GAME.V
Namco BANDAI Holdings,Tokyo:7832.T
OTC.NCBDF,"NetEase.com, Inc."
"NetEase.com, Inc.",NasdaqGS: NTES
NexTech AR Solutions Corp,CSE:NTAR
Nintendo,OTC: NTDOY
NTN Buzztime Inc.,NYSE MKT:NTN
Nvidia Corp,NasdaqGS:NVDA
Obscene Interactive,OTC:OBJE
Perfect World Co,NasdaqGS:PWRD
Razer Inc,HongKong: 1337.HK
Rightscorp Inc,OTC:RIHT
Shanda Games Limited,NasdaqGS:GAME
Shoal Games Ltd.,TSX:SGW.V
Trophy Bingo,Simplicity Esports and Gaming Company
Simplicity Esports and Gaming Company,OTC:WINR)
Sony Computer Entertainment America Inc.,NYSE: SNE
Square Enix Holdings,Tokyo: 9684.T
SunGame Corporation,OTC:SGMZ
Take-Two Interactive Software Inc,NasdaqGS: TTWO
"Tapinator, Inc.",OTCQB: TAPM
Tencent Holding Ltd,OTC: TCEHY
The9 Limited,NasdaqGS: NCTY
THQ Inc,NasdaqGS:THQI
TransGaming Inc.,TSX:TNG.V
Turtle Beach,NasdaqGM:HEAR
Ubisoft Entertainment,NYSE Euronext:UBI
"UCWeb Inc. (UCWeb),",NYSE:BABA
www.ucweb.com,Versus Systems Inc.
Versus Systems Inc.,CSE:VS
"Virtual Piggy, Inc.",OTC:VPIG
Vivendi Universal Games,NYSE Euronext: VIV
Walt Disney Company,NYSE: DIS
Webzen,OTC:WZENY
World Mahjong Limited,CSE:WSM
"WRIT Media Group, Inc.",OTC: WRIT
Zynga Inc,NasdaqGS:ZNGA
TOP,32Red plc
32Red plc,LSE:TTR.L
888 Holdings Public Limited ,LSE:888.L
"Amaya Gaming Group, Inc.",NasdaqGS:AYA
"Ameristar Casinos, Inc.",NasdaqGS:ASCA
Atlantis Internet Group,OTC: ATIG
"Bally Technologies, Inc.",NYSE: BYI
Bingo.com Ltd,OTC:BNGOF
Boyd Gaming Corporation,NYSE: BYD
Canterbury Park Holding Corporation,NasgaqGM:CPHC
Carlyle Entertainment Ltd,CSE: OLG
Century Casinos Inc.,NasdaqCM: CNTY
"Chilco River Holdings, Inc.",OTC:CRVH
Churchill Downs,NasdqGS:CHDN
Contagious Gaming Inc,TSX:CNS.V
DHS Holding Co.,OTC:DHSM
Dover Downs Gaming & Entertainment Inc,NYSE: DDE
"EC Development, Inc.",OTC:ECDI
Elray Gaming,OTC:ELRA
Empire Global Corp,OTC:EMGL
www.newgioco.it,Empire Resorts Inc
Empire Resorts Inc,NasdaqGM:NYNY
eQube Gaming Limited,TSX:EQG.V
Fantasy Aces Daily Fantasy Sports Corp,TSX:FAS.V
Florida Gaming Corp.,OTC:FGMG
"Full House Resorts, Inc. ",NYSEMKT:FLL
Function(x) Inc.,NasdaqCM:FNCX
Gaming Nation Inc,TSX:FAN.V
"Galaxy Gaming, Inc.",OTC:GLXZ
Gaming Partners International Corporation,NasdaqGM:GPIC
"Global Cash Access Holdings, Inc.",NYSE:GVA
Great Canadian Gaming Corporation,TSX:GC.TO
GVC Holdings plc,LSE:GVC.L
CasinoClub,Betboo
Betboo,Imperus Technologies Corp
Imperus Technologies Corp,TSX:LAB.V
International Game Technology Inc,NYSE: IGT
International Lottery & Totalizator Systems Inc,OTC: ITSI
"Intertain Group Ltd, The",TSX:IT.TO
 InterCasino,Costa
Costa,Vera&John
Vera&John,Jackpotjoy
Jackpotjoy,Botemania
Botemania,Isle of Capris Casinos Inc
Isle of Capris Casinos Inc,NasdaqGS:ISLE
Jackpot Digital Inc,TSX:JP.V
"Kinbasha Gaming International, Inc.",OTC: KNBA
Ladbrokes plc,LSE:LAD.L
Las Vegas Sands Corp.,NYSE:LVS
LottoGopher Holdings Inc,CSE:LOTO
Melco Crown Entertainment Limited,NasdaqGS:MPEL
Altira Macau,City of Dreams
City of Dreams,Mocha Clubs
Mocha Clubs,Studio City Project
Studio City Project,City of Dreams Manila
City of Dreams Manila,MGM Resorts International 
MGM Resorts International ,NYSE: MGM
MGT Capital Investments,OTC:MGTI
FanThrowdown.com,"Monarch Casino & Resort, Inc"
"Monarch Casino & Resort, Inc",NasdaqGS:MCRI
"MTR Gaming Group, Inc.",NasdaqGS: MNTG
Multimedia Games Inc,NASDAQGS:MGAM
Netplay TV plc,LSE:NPT.L
"Nevada Gold & Casinos, Inc.",NYSE MKT:UWN
NYX Gaming Group Ltd,TSX:NYX.V
Paddy Power plc,LSE:PAP.L
