,0
0,Nintendo
1,Microsoft Game Studios
2,Take-Two Interactive
3,Sony Computer Entertainment
4,Activision
5,Ubisoft
6,Bethesda Softworks
7,Electronic Arts
8,Sega
9,SquareSoft
10,Atari
11,505 Games
12,Capcom
13,GT Interactive
14,Konami Digital Entertainment
15,Sony Computer Entertainment Europe
16,Square Enix
17,LucasArts
18,Virgin Interactive
19,Warner Bros. Interactive Entertainment
20,Universal Interactive
21,Eidos Interactive
22,RedOctane
23,Vivendi Games
24,Enix Corporation
25,Namco Bandai Games
26,Palcom
27,Hasbro Interactive
28,THQ
29,Fox Interactive
30,Acclaim Entertainment
31,MTV Games
32,Disney Interactive Studios
33,
34,Majesco Entertainment
35,Codemasters
36,Red Orb
37,Level 5
38,Arena Entertainment
39,Midway Games
40,JVC
41,Deep Silver
42,989 Studios
43,NCSoft
44,UEP Systems
45,Parker Bros.
46,Maxis
47,Imagic
48,Tecmo Koei
49,Valve Software
50,ASCII Entertainment
51,Mindscape
52,Infogrames
53,Unknown
54,Square
55,Valve
56,Activision Value
57,Banpresto
58,D3Publisher
59,Oxygen Interactive
60,Red Storm Entertainment
61,Video System
62,Hello Games
63,Global Star
64,Gotham Games
65,Westwood Studios
66,GungHo
67,Crave Entertainment
68,Hudson Soft
69,Coleco
70,Rising Star Games
71,Atlus
72,TDK Mediactive
73,ASC Games
74,Zoo Games
75,Accolade
76,Sony Online Entertainment
77,3DO
78,RTL
79,Natsume
80,Focus Home Interactive
81,Alchemist
82,Black Label Games
83,SouthPeak Games
84,Mastertronic
85,Ocean
86,Zoo Digital Publishing
87,Psygnosis
88,City Interactive
89,Empire Interactive
90,Success
91,Compile
92,Russel
93,Taito
94,Agetec
95,GSP
96,Microprose
97,Play It
98,Slightly Mad Studios
99,Tomy Corporation
100,Sammy Corporation
101,Koch Media
102,Game Factory
103,Titus
104,Marvelous Entertainment
105,Genki
106,Mojang
107,Pinnacle
108,CTO SpA
109,TalonSoft
110,Crystal Dynamics
111,SCi
112,Quelle
113,"mixi, Inc"
114,Rage Software
115,Ubisoft Annecy
116,Scholastic Inc.
117,Interplay
118,Mystique
119,ChunSoft
120,Square EA
121,20th Century Fox Video Games
122,Avanquest Software
123,Hudson Entertainment
124,Nordic Games
125,Men-A-Vision
126,Nobilis
127,Big Ben Interactive
128,Touchstone
129,Spike
130,Jester Interactive
131,Nippon Ichi Software
132,LEGO Media
133,Quest
134,Illusion Softworks
135,Tigervision
136,Funbox Media
137,Rocket Company
138,Metro 3D
139,Mattel Interactive
140,IE Institute
141,Rondomedia
142,Sony Computer Entertainment America
143,Universal Gamex
144,Ghostlight
145,Wizard Video Games
146,BMG Interactive Entertainment
147,PQube
148,Trion Worlds
149,Laguna
150,Ignition Entertainment
151,Takara
152,Kadokawa Shoten
153,Destineer
154,Enterbrain
155,Xseed Games
156,Imagineer
157,System 3 Arcade Software
158,CPG Products
159,Aruze Corp
160,Gamebridge
161,Midas Interactive Entertainment
162,Jaleco
163,Answer Software
164,XS Games
165,Activision Blizzard
166,Pack In Soft
167,Rebellion
168,Xplosiv
169,Ultravision
170,GameMill Entertainment
171,Wanadoo
172,NovaLogic
173,Telltale Games
174,Epoch
175,BAM! Entertainment
176,Knowledge Adventure
